"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"THE SERANG-Panimbang Toll Road is one of the Nat'l Strategic Projects (PSN) carried out using gov't and Business En… https://t.co/HYDksGfDqs",FALSE,0,NA,2021-11-16 11:38:42,TRUE,NA,"1460573034851422212",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IwanKamah",0,FALSE,FALSE,NA,NA
"PRESIDENT Joko Widodo believes the existence of this transportation infrastructure will boost economic growth in Ba… https://t.co/YdTegFCyLU",FALSE,0,NA,2021-11-16 11:30:35,TRUE,NA,"1460570991961128960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IwanKamah",0,FALSE,FALSE,NA,NA
"PRESIDENT Joko Widodo said that infrastructure, including toll roads, is needed to compete with other countries. Th… https://t.co/GTItlnjbOM",FALSE,0,NA,2021-11-16 11:22:01,TRUE,NA,"1460568839138123777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IwanKamah",0,FALSE,FALSE,NA,NA
"• #Indonesia Pres. #Jokowi to increase global footprint via #G20 presidency
• #Argentina Pres. #Fernández loses con… https://t.co/5I1Xwbmz1m",FALSE,3,NA,2021-11-16 04:47:55,TRUE,NA,"1460469660701405189",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","statecraftdaily",0,FALSE,FALSE,NA,NA
"Fighting for poverty and stunting in NTT province, Indonesia #elonmusk #jokowi #billGates",FALSE,1,NA,2021-11-16 03:37:59,FALSE,NA,"1460452058679574529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mark58257954",0,FALSE,FALSE,NA,NA
"Keren Mr. President!

#IndonesiaMaju #Jokowi #MandalikaMendunia https://t.co/xBqspsf6mk",FALSE,3,NA,2021-11-15 14:21:19,FALSE,NA,"1460251572898652162",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Citralokadwipa",0,FALSE,FALSE,NA,NA
"Welcome to Mandalika. 
#Jokowi 
#IndonesiaMaju https://t.co/7BNy7fM4oj",FALSE,0,NA,2021-11-15 04:53:57,FALSE,NA,"1460108788510248961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IndoMaju_",0,FALSE,FALSE,NA,NA
"RT @projopusat: Black RX @jokowi To Mandalika..👍🇮🇩😁

#blackrx #IndonesiaMaju 
#Jokowidodo
#Jokowi https://t.co/ED12ZPyPtr",FALSE,0,NA,2021-11-15 03:07:53,FALSE,NA,"1460082098153222153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MerahPutih2024",5,TRUE,FALSE,NA,NA
"ACCORDING to #LinggajatiAgreement, Netherlands and Republic of Indonesia were to cooperate in formation of commonwe… https://t.co/fyRERpQB57",FALSE,0,NA,2021-11-15 02:38:31,TRUE,NA,"1460074707911262211",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IwanKamah",0,FALSE,FALSE,NA,NA
"FOR the first time, Kingdom of Netherlands recognized of the Republic of Indonesia as the 'de facto' authority in J… https://t.co/AdYKZFJwbK",FALSE,0,NA,2021-11-15 02:30:51,TRUE,NA,"1460072776669138944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IwanKamah",0,FALSE,FALSE,NA,NA
"Awosome Kick's Grandchild Mr President Jokowi #jokowi #IndonesiaMaju #taekwondo https://t.co/HvKHn4fFoc",FALSE,0,NA,2021-11-15 01:22:37,FALSE,NA,"1460055604622286852",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","swastika",0,FALSE,FALSE,NA,NA
"RT @projopusat: Black RX @jokowi To Mandalika..👍🇮🇩😁

#blackrx #IndonesiaMaju 
#Jokowidodo
#Jokowi https://t.co/ED12ZPyPtr",FALSE,0,NA,2021-11-14 13:36:47,FALSE,NA,"1459877977064312835",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dedd32605576",5,TRUE,FALSE,NA,NA
