Datetime,Username,Text
2021-11-29 15:36:08+00:00,chep_ec,"@detikcom Nah kenape sekarang muji2 mandalika,....katenya  banjir...,jelek segalahya deh,...drun...drun pasti ada maunya neh,...ati2 bang KPK...🤣"
2021-11-29 15:35:15+00:00,KKampul,"Ktika sirkuit Mandalika dresmikan presiden ada partei mngclaim bhw brsyukur krn Mndlk trbangun  smasa gubernur X dr partai trtentu(sy tulis initialnya sj spy tdk bkin hboh: PKS🤣)
lalu ada Adr dr partei G mau usul klo F1 jg d Mndlk. Pribhasanya:”Ayam brkokok siang hari” Btulkah?"
2021-11-29 15:33:29+00:00,Cordovamindpack,"Kok matanya merem...
nggak mandalika ?! https://t.co/tWUupxHMGK"
2021-11-29 15:31:34+00:00,riegoluckyaja,"@Bang_Garr ky na ntu mafia,, jdi sindikat pnipu, ky sindikat pncopet d mandalika yg ktangkep ntu,, bsa jdi bkn 1 org ajj yg ngelola akun na"
2021-11-29 15:31:04+00:00,firman__nurhuda,"@AntonKu62463911 Pertanyaannya , Anggota DPRD yang protes soal Sumur Resapan dan Oposisi pada setuju kagak...? Sumur Resapan sekarang aja diprotes.

Yakin , anggaran tersebut lebih tinggi Dari Formula E dan Sirkuit Mandalika."
2021-11-29 15:23:52+00:00,medcom_id,TGUPP DKI Sebut Formula E Akan Mirip WSBK Mandalika https://t.co/xAbkQT2QBE
2021-11-29 15:23:24+00:00,SePradistya,Cakep banget ni mandalika https://t.co/BSccf72fof
2021-11-29 15:19:14+00:00,LindaSaibi,@FajarHi77302994 @NyiMasRuminah @FerdinandHaean3 Aduhh tolol gk ada presiden dunia lah G20 apaan drun lu yg keliatan tolol ngatain orang tolol 😂😂😂 lahh Mandalika siapa yg bikin drun panas lu yaa sukses presiden gua ngadain. Lahh iri lu nyata banget drun keliatanya 😂😂😂
2021-11-29 15:17:16+00:00,LindaSaibi,@FajarHi77302994 @NyiMasRuminah @FerdinandHaean3 Gk sesuai bacot lu Kadrun dongo lu bilang gk bisa kerja presiden gua jd jd presiden dunia 😂😂 sakit mah bilang drun kurang cukup drun Mandalika di lirik luar negri sakit lah 😂😂😂 soalnya sirkuit formula ghaib 😂😂 finish nya di KPK LG 😂😂😂
2021-11-29 15:13:59+00:00,growup55272627,@pengarang_sajak buat aturan sementara DKI wilayahnya ditambah mandalika. jadi bisa pakai sirkuit mandalika
